date,sentiment,n_trades,total_volume,avg_leverage,win_rate,avg_pnl
2023-05-01,Greed,3,3,1898.1333333333332,1898.1333333333332,1898.1333333333332
2023-12-05,Extreme Greed,9,9,11038.3,11038.3,11038.3
2023-12-14,Greed,11,11,8031.868818181818,8031.868818181818,8031.868818181818
2023-12-15,Greed,2,2,2.982,2.982,2.982
2023-12-16,Greed,3,3,0.3847066666666667,0.3847066666666667,0.3847066666666667
2023-12-17,Greed,14,14,802.5418592857143,802.5418592857143,802.5418592857143
2023-12-18,Greed,2,2,2178.1000000000004,2178.1000000000004,2178.1000000000004
2023-12-19,Greed,15,15,447.8019113333333,447.8019113333333,447.8019113333333
2023-12-20,Greed,18,18,6.722871666666666,6.722871666666666,6.722871666666666
2023-12-21,Greed,49,49,91.84020408163265,91.84020408163265,91.84020408163265
2023-12-22,Greed,10,10,30692.8325,30692.8325,30692.8325
2023-12-23,Greed,13,13,3.0702846153846153,3.0702846153846153,3.0702846153846153
2023-12-24,Greed,39,39,13680.54118025641,13680.54118025641,13680.54118025641
2023-12-25,Greed,3,3,2275.4,2275.4,2275.4
2023-12-27,Greed,28,28,0.37319214285714286,0.37319214285714286,0.37319214285714286
2023-12-28,Greed,23,23,0.4032943478260869,0.4032943478260869,0.4032943478260869
2023-12-29,Greed,50,50,3836.17816,3836.17816,3836.17816
2023-12-30,Greed,52,52,13421.615271153847,13421.615271153847,13421.615271153847
2024-01-01,Greed,18,18,10373.330666666667,10373.330666666667,10373.330666666667
2024-01-02,Greed,17,17,10199.892598764705,10199.892598764705,10199.892598764705
2024-01-03,Greed,67,67,738.8837898507463,738.8837898507463,738.8837898507463
2024-01-04,Greed,5,5,2212.62,2212.62,2212.62
2024-01-05,Greed,66,66,30495.46818181818,30495.46818181818,30495.46818181818
2024-01-06,Greed,22,22,6586.107318181818,6586.107318181818,6586.107318181818
2024-01-07,Greed,97,97,7513.911021649485,7513.911021649485,7513.911021649485
2024-01-08,Greed,128,128,15078.63093734375,15078.63093734375,15078.63093734375
2024-01-09,Extreme Greed,70,70,14127.109546714286,14127.109546714286,14127.109546714286
2024-01-10,Greed,193,193,12914.76879230052,12914.76879230052,12914.76879230052
2024-01-11,Extreme Greed,21,21,12141.70542857143,12141.70542857143,12141.70542857143
2024-01-12,Greed,7,7,39774.47142857143,39774.47142857143,39774.47142857143
2024-01-15,Neutral,14,14,16738.085714285717,16738.085714285717,16738.085714285717
2024-01-16,Greed,9,9,19105.61008888889,19105.61008888889,19105.61008888889
2024-01-17,Greed,53,53,20112.302,20112.302,20112.302
2024-01-18,Greed,46,46,24363.11304347826,24363.11304347826,24363.11304347826
2024-01-19,Neutral,48,48,14421.93125,14421.93125,14421.93125
2024-01-20,Neutral,106,106,14671.724672933962,14671.724672933962,14671.724672933962
2024-01-21,Greed,11,11,19141.940333454546,19141.940333454546,19141.940333454546
2024-01-22,Greed,85,85,6179.383261176471,6179.383261176471,6179.383261176471
2024-01-23,Neutral,45,45,11768.913676111111,11768.913676111111,11768.913676111111
2024-01-24,Neutral,68,68,16861.48394732353,16861.48394732353,16861.48394732353
2024-01-25,Neutral,6,6,87.95416666666667,87.95416666666667,87.95416666666667
2024-01-26,Neutral,5,5,0.1198688,0.1198688,0.1198688
2024-01-28,Neutral,11,11,16.956,16.956,16.956
2024-01-29,Greed,74,74,15636.855511594595,15636.855511594595,15636.855511594595
2024-01-30,Greed,49,49,27371.991836734695,27371.991836734695,27371.991836734695
2024-01-31,Greed,859,859,28200.90456028405,28200.90456028405,28200.90456028405
2024-02-01,Greed,6,6,0.07612616666666668,0.07612616666666668,0.07612616666666668
2024-02-02,Greed,42,42,15601.771341142858,15601.771341142858,15601.771341142858
2024-02-03,Greed,56,56,29939.640223214286,29939.640223214286,29939.640223214286
2024-02-04,Greed,35,35,12108.636457142857,12108.636457142857,12108.636457142857
2024-02-05,Greed,72,72,15958.2223625,15958.2223625,15958.2223625
2024-02-06,Greed,1088,1088,22118.307961134193,22118.307961134193,22118.307961134193
2024-02-07,Greed,15,15,3.98582,3.98582,3.98582
2024-02-08,Greed,10,10,10.0228845,10.0228845,10.0228845
2024-02-11,Greed,34,34,17890.449081970586,17890.449081970586,17890.449081970586
2024-02-12,Greed,16,16,28717.7418125,28717.7418125,28717.7418125
2024-02-13,Extreme Greed,14,14,0.06054285714285714,0.06054285714285714,0.06054285714285714
2024-02-14,Greed,111,111,5443.060992846847,5443.060992846847,5443.060992846847
2024-02-15,Greed,63,63,2750.1658545873015,2750.1658545873015,2750.1658545873015
2024-02-16,Greed,182,182,696.7813038571429,696.7813038571429,696.7813038571429
2024-02-17,Extreme Greed,94,94,3403.646719574468,3403.646719574468,3403.646719574468
2024-02-18,Greed,97,97,3.395497731958763,3.395497731958763,3.395497731958763
2024-02-19,Extreme Greed,101,101,2068.0068288118814,2068.0068288118814,2068.0068288118814
2024-02-20,Greed,39,39,2681.8062438974357,2681.8062438974357,2681.8062438974357
2024-02-21,Extreme Greed,22,22,27.589205454545457,27.589205454545457,27.589205454545457
2024-02-22,Greed,88,88,1175.5737064772727,1175.5737064772727,1175.5737064772727
2024-02-23,Extreme Greed,143,143,725.5068307692308,725.5068307692308,725.5068307692308
2024-02-25,Greed,5,5,0.5663259999999999,0.5663259999999999,0.5663259999999999
2024-02-26,Greed,39,39,5.614911538461539,5.614911538461539,5.614911538461539
2024-02-27,Extreme Greed,63,63,36.161129396825395,36.161129396825395,36.161129396825395
2024-02-28,Extreme Greed,45,45,1.2982939111111111,1.2982939111111111,1.2982939111111111
2024-02-29,Extreme Greed,116,116,11.306912146551724,11.306912146551724,11.306912146551724
2024-03-01,Extreme Greed,137,137,2.725657408759124,2.725657408759124,2.725657408759124
2024-03-02,Extreme Greed,31,31,0.8005309032258064,0.8005309032258064,0.8005309032258064
2024-03-03,Extreme Greed,79,79,3.0333498607594938,3.0333498607594938,3.0333498607594938
2024-03-04,Extreme Greed,300,300,419.88134141,419.88134141,419.88134141
2024-03-05,Extreme Greed,180,180,0.3816785944444444,0.3816785944444444,0.3816785944444444
2024-03-06,Extreme Greed,82,82,1.7171503902439025,1.7171503902439025,1.7171503902439025
2024-03-08,Extreme Greed,67,67,2.9131835970149256,2.9131835970149256,2.9131835970149256
2024-03-09,Extreme Greed,117,117,15.9975568974359,15.9975568974359,15.9975568974359
2024-03-10,Extreme Greed,42,42,34.630716666666665,34.630716666666665,34.630716666666665
2024-03-11,Extreme Greed,42,42,2.647672619047619,2.647672619047619,2.647672619047619
2024-03-12,Extreme Greed,8,8,9.235375,9.235375,9.235375
2024-03-13,Extreme Greed,7,7,3979.957142857143,3979.957142857143,3979.957142857143
2024-03-14,Extreme Greed,18,18,252.0171572222222,252.0171572222222,252.0171572222222
